logFC	Pval	Warning	FDR
HGD	0.14018327589916	0.000272727243999737	NA	0.0446192001501754
HIST2H2AB	-0.284271270503089	0.000255987639743882	NA	0.0445001122002598
INTS1	-0.204516042211248	0.000219208871995891	NA	0.0416848241976711
KLHL7	0.149059145530587	0.000210709614649307	NA	0.0410960837449557
LACTB	0.209306093900298	6.6302579715849e-05	NA	0.0225612161147994
LTBP3	-0.230646307780687	0.000323138304060722	NA	0.048754253743803
MAP2K6	0.322340653734511	3.67255117759147e-05	NA	0.0139881113092337
MED9	-0.172786556166862	1.14626297409437e-06	NA	0.00141016798036087
METTL8	0.116643618870698	1.39964281551386e-05	NA	0.00799445983875469
MYO1B	0.421587899441713	2.81824809000852e-06	NA	0.00265130833550037
NCOA1	0.123064608023688	0.000291739327076934	NA	0.0457430103719746
NIM1K	0.243672501300473	6.81917008682476e-06	NA	0.0047416950955908
NT5C3A	0.140723824020286	0.000244291827233845	NA	0.04439726355626
NUS1	0.141258893626395	8.67527619665687e-05	NA	0.0239213262436437
PCYT2	-0.188430898911294	0.000311586545690634	NA	0.0479154194733684
PEX10	-0.183304091092548	1.54233370541768e-05	NA	0.00822218098358163
PHF21A	0.157391835754808	3.32938067419963e-05	NA	0.0133116962806187
PHPT1	-0.217726251967132	0.000142799771261526	NA	0.0344720788463912
PIBF1	0.136155846245027	1.79634819335028e-05	NA	0.00897781145507846
PIGF	0.232430132262487	0.000201393377024406	NA	0.0407993921215052
PMM1	-0.198130438080905	2.35860297692625e-06	NA	0.00235757108812384
POLR2E	-0.227974349771836	2.88257472558229e-07	NA	0.000488552320759092
PPM1F	-0.156751410593597	0.000177821831552905	NA	0.0384608099789524
PRDX1	-0.220435882070288	0.000253923667311806	NA	0.0445001122002598
PTPN2	0.162345468152205	3.15080421284808e-05	NA	0.0129207209682255
PUS7	0.186231984887433	9.94251525998635e-07	NA	0.00132508872127468
QARS	-0.17844911367525	2.44249065417534e-15	NA	1.95313765161131e-11
R3HCC1L	0.149335971979088	0.000185173661500615	NA	0.0384608099789524
RAVER1	-0.206275262472138	4.33320685977456e-06	NA	0.0036474198583355
RHBDD3	-0.251558491477213	8.04360125490344e-05	NA	0.0239213262436437
RPGRIP1L	0.224930286786915	3.67348636896025e-05	NA	0.0139881113092337
RRAS2	0.367303272643108	1.72560357558638e-06	NA	0.001932256037419
RSU1	0.174487590189999	2.58235210992552e-10	NA	8.25991145880778e-07
S100B	-0.398749116101931	0.000148823600254477	NA	0.0350019976304391
SBF2	0.115740242588821	0.000133426240928713	NA	0.0328290134026602
SCLT1	0.129505616225616	6.91786019517693e-05	NA	0.0229526161724765
SLC16A2	0.200518753119407	4.56834570172759e-12	NA	2.43538509359098e-08
SLC25A19	0.317060686031075	0.000115775007771157	NA	0.0296341418841118
SLC6A15	0.263362487486513	0.00027138259263948	NA	0.0446192001501754
SLC9B2	0.110494678022687	0.000222728496222624	NA	0.0416848241976711
SLN	-0.161719744368766	0.000182982950548416	NA	0.0384608099789524
SMIM17	0.288873905343813	0.000165536734264338	NA	0.0374331421917457
SNX22	-0.348997055477666	8.65372643670259e-05	NA	0.0239213262436437
SPSB3	-0.150571613546036	9.18051591525249e-06	NA	0.00569600714220713
SSTR3	-0.326356660256943	5.32736507634635e-05	NA	0.018521858623045
TASP1	0.243898667360325	8.18852097239642e-08	NA	0.00016369876988942
THTPA	-0.197485263800202	0.000273212521786803	NA	0.0446192001501754
TLK1	0.134817957493606	0.000268941661635713	NA	0.0446192001501754
TM4SF2	0.370801168776556	0.000176522906160548	NA	0.0384608099789524
TOLLIP	-0.173780854973685	7.03231534078252e-05	NA	0.0229526161724765
TRIM28	-0.125205934642902	0.000304305014884987	NA	0.0472500010005398
TYRP1	0.359850080282946	3.3034650726016e-07	NA	0.000488552320759092
UBE2M	-0.212396836072203	4.19089083658619e-06	NA	0.0036474198583355
UBE3A	0.116669762460913	3.36026732217221e-07	NA	0.000488552320759092
UBXN6	-0.253693797574992	4.97194847515203e-08	NA	0.000132527286605177
UCK2	0.140205054054592	0.00012485907504578	NA	0.0312011123001119
UGGT2	0.17479647661957	4.37743013246283e-05	NA	0.0155573866907729
UPF1	-0.170563504563904	0.000250144304640543	NA	0.0445001122002598
USO1	0.127305858709019	7.97305439448337e-08	NA	0.00016369876988942
VCAN	-0.352315924330293	0.000178204337063503	NA	0.0384608099789524
VPS4A	-0.11827901313455	2.26075386093871e-05	NA	0.0100433990272202
WBP2	-0.177909644904081	1.50519573529628e-05	NA	0.00822218098358163
WIPI1	0.368190109230744	5.27021048535303e-06	NA	0.00411105674802885
ZNF132	-0.274767877708948	8.33061047080808e-05	NA	0.0239213262436437
ZNF169	0.300164557432654	7.41022507699807e-05	NA	0.0233210771146535
ZNF26	0.177495348341878	1.97619177058073e-05	NA	0.0095773439354235
ZNF41	0.170033836575553	0.000217505065700951	NA	0.0416848241976711
ZSWIM5	0.237441134579134	0	NA	0
